месяц,число,ИВБО-01-22,время,№                      ауд,Ссылка,ИВБО-02-22,время,№                      ауд,Ссылка,ИВБО-03-22,время,№                      ауд,Ссылка,ИВБО-04-22,время,№                      ауд,Ссылка,месяц,число,ИВБО-05-22,время,№                      ауд,Ссылка,ИВБО-06-22,время,№                      ауд,Ссылка,ИВБО-07-22,время,№                      ауд,Ссылка,ИВБО-08-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-05-22,время,№                      ауд,Ссылка,ИКБО-04-22,время,№                      ауд,Ссылка,ИКБО-14-22,время,№                      ауд,Ссылка,ИКБО-15-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-22-22,время,№                      ауд,Ссылка,ИКБО-35-22,время,№                      ауд,Ссылка,ИКБО-06-22,время,№                      ауд,Ссылка,ИКБО-07-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-11-22,время,№                      ауд,Ссылка,ИКБО-12-22,время,№                      ауд,Ссылка,ИКБО-26-22,время,№                      ауд,Ссылка,ИКБО-27-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-28-22,время,№                      ауд,Ссылка,ИКБО-32-22,время,№                      ауд,Ссылка,ИКБО-08-22,время,№                      ауд,Ссылка,ИКБО-09-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-17-22,время,№                      ауд,Ссылка,ИКБО-18-22,время,№                      ауд,Ссылка,ИКБО-19-22,время,№                      ауд,Ссылка,ИКБО-21-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-23-22,время,№                      ауд,Ссылка,ИКБО-29-22,время,№                      ауд,Ссылка,ИКБО-25-22,время,№                      ауд,Ссылка,ИКБО-31-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-37-22,время,№                      ауд,Ссылка,ИКБО-01-22,время,№                      ауд,Ссылка,ИКБО-02-22,время,№                      ауд,Ссылка,ИКБО-16-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-20-22,время,№                      ауд,Ссылка,ИКБО-30-22,время,№                      ауд,Ссылка,ИКБО-36-22,время,№                      ауд,Ссылка,ИКБО-38-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-10-22,время,№                      ауд,Ссылка,ИКБО-24-22,время,№                      ауд,Ссылка,ИКБО-34-22,время,№                      ауд,Ссылка,ИКБО-03-22,время,№                      ауд,Ссылка,месяц,число,ИКБО-13-22,время,№                      ауд,Ссылка,ИКБО-33-22,время,№                      ауд,Ссылка,ИМБО-01-22,время,№                      ауд,Ссылка,ИМБО-02-22,время,№                      ауд,Ссылка,месяц,число,ИНБО-05-22,время,№                      ауд,Ссылка,ИНБО-06-22,время,№                      ауд,Ссылка,ИНБО-10-22,время,№                      ауд,Ссылка,ИНБО-11-22,время,№                      ауд,Ссылка,месяц,число,ИНБО-01-22,время,№                      ауд,Ссылка,ИНБО-02-22,время,№                      ауд,Ссылка,ИНБО-03-22,время,№                      ауд,Ссылка,ИНБО-04-22,время,№                      ауд,Ссылка,месяц,число,ИНБО-09-22,время,№                      ауд,Ссылка,ИНБО-07-22,время,№                      ауд,Ссылка,ИНБО-08-22,время,№                      ауд,Ссылка,ИНБО-12-22,время,№                      ауд,Ссылка
Я            Н           В          А          Р          Ь,09 пн,Консультация,10-30,А-18,,Консультация,10-30,А-18,,Консультация,10-30,А-18,,Консультация,10-30,А-18,,Я            Н           В          А          Р          Ь,09 пн,Консультация,10-30,А-18,,Консультация,10-30,А-13,,Консультация,10-30,А-13,,Консультация,10-30,А-13,,Я            Н           В          А          Р          Ь,09 пн,Консультация,10-30,А-17,,Консультация,10-30,А-17,,Консультация,10-30,А-17,,Консультация,10-30,А-17,,Я            Н           В          А          Р          Ь,09 пн,Консультация,10-30,А-17,,Консультация,10-30,А-17,,Консультация,9-00,А-17,,Консультация,9-00,А-17,,Я            Н           В          А          Р          Ь,09 пн,Консультация,9-00,А-17,,Консультация,9-00,А-17,,Консультация,9-00,А-17,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,Консультация,9-00,А-18,,Консультация,9-00,А-18,,Я            Н           В          А          Р          Ь,09 пн,Консультация,9-00,А-18,,Консультация,9-00,А-18,,Консультация,9-00,А-18,,Консультация,12-00,А-18,,Я            Н           В          А          Р          Ь,09 пн,Консультация,12-00,А-18,,Консультация,12-00,А-18,,Консультация,12-00,А-18,,Консультация,12-00,А-18,,Я            Н           В          А          Р          Ь,09 пн,Консультация,12-00,А-18,,Консультация,13-30,А-17,,Консультация,13-30,А-17,,Консультация,13-30,А-17,,Я            Н           В          А          Р          Ь,09 пн,Консультация,13-30,А-17,,Консультация,13-30,А-17,,Консультация,13-30,А-17,,Консультация,13-30,А-17,,Я            Н           В          А          Р          Ь,09 пн,Консультация,13-30,А-18,,Консультация,13-30,А-18,,Консультация,13-30,А-18,,Консультация,13-30,А-18,,Я            Н           В          А          Р          Ь,09 пн,Консультация,13-30,А-18,,Консультация,13-30,А-18,,Консультация,15-00,А-18,,Консультация,15-00,А-18,,Я            Н           В          А          Р          Ь,09 пн,Консультация,15-00,А-18,,Консультация,15-00,А-18,,Консультация,15-00,А-18,,Консультация,15-00,А-18,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,Консультация,10-30,А-13,,Я            Н           В          А          Р          Ь,09 пн,Консультация,10-30,А-13,,Консультация,10-30,А-13,,Консультация,10-30,А-13,,Консультация,10-30,А-13,
,,Информатика,,,,Информатика,,,,Информатика,,,,Информатика,,,,,,Информатика,,,,История,,,,История,,,,История,,,,,,История,,,,История,,,,История,,,,История,,,,,,История,,,,История,,,,История,,,,История,,,,,,История,,,,История,,,,История,,,,,,,,,,,,,,,,,,Информатика,,,,Информатика,,,,,,Информатика,,,,Информатика,,,,Информатика,,,,Информатика,,,,,,Информатика,,,,Информатика,,,,Информатика,,,,Информатика,,,,,,Информатика,,,,История,,,,История,,,,История,,,,,,История,,,,История,,,,История,,,,История,,,,,,Информатика,,,,Информатика,,,,Информатика,,,,Информатика,,,,,,Информатика,,,,Информатика,,,,Информатика,,,,Информатика,,,,,,Информатика,,,,Информатика,,,,Информатика,,,,Информатика,,,,,,,,,,,,,,,,,,История,,,,,,История,,,,История,,,,История,,,,История,,,
,,Воронов Г.Б.,,,,Воронов Г.Б.,,,,Воронов Г.Б.,,,,Воронов Г.Б.,,,,,,Воронов Г.Б.,,,,Клейтман А.Л.,,,,Клейтман А.Л.,,,,Клейтман А.Л.,,,,,,Павлова О.Ф.,,,,Павлова О.Ф.,,,,Павлова О.Ф.,,,,Павлова О.Ф.,,,,,,Павлова О.Ф.,,,,Павлова О.Ф.,,,,Павлова О.Ф.,,,,Павлова О.Ф.,,,,,,Павлова О.Ф.,,,,Павлова О.Ф.,,,,Павлова О.Ф.,,,,,,,,,,,,,,,,,,Воронов Г.Б.,,,,Воронов Г.Б.,,,,,,Воронов Г.Б.,,,,Воронов Г.Б.,,,,Воронов Г.Б.,,,,Смирнов С.С.,,,,,,Смирнов С.С.,,,,Смирнов С.С.,,,,Смирнов С.С.,,,,Смирнов С.С.,,,,,,Смирнов С.С.,,,,Мельтюхов М.И.,,,,Мельтюхов М.И.,,,,Мельтюхов М.И.,,,,,,Мельтюхов М.И.,,,,Мельтюхов М.И.,,,,Мельтюхов М.И.,,,,Мельтюхов М.И.,,,,,,Смирнов С.С.,,,,Смирнов С.С.,,,,Смирнов С.С.,,,,Смирнов С.С.,,,,,,Смирнов С.С.,,,,Смирнов С.С.,,,,Норица В.М.,,,,Норица В.М.,,,,,,Норица В.М.,,,,Норица В.М.,,,,Норица В.М.,,,,Норица В.М.,,,,,,,,,,,,,,,,,,Клейтман А.Л.,,,,,,Клейтман А.Л.,,,,Клейтман А.Л.,,,,Клейтман А.Л.,,,,Клейтман А.Л.,,,
,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,Экзамен,9-00,А-208,,,,,,Экзамен,9-00,А-325,,,"10
вт",,,,,,,,,Экзамен,9-00,А-203,,,,,,,"10
вт",,,,,,,,,Экзамен,9-00,А-328,,Экзамен,12-00,А-325,,,"10
вт",Экзамен,12-00,А-203,,Экзамен,12-00,А-328,,Экзамен,12-00,А-208,,,,,,,"10
вт",,,,,,,,,Экзамен,9-00,А-17,,Экзамен,9-00,А-17,,,"10
вт",Экзамен,10-40,А-17,,Экзамен,10-40,А-17,,Экзамен,12-40,А-17,,Экзамен,12-40,А-17,,,"10
вт",,,,,,,,,Экзамен,14-20,А-17,,Экзамен,14-20,А-17,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",Консультация,10-30,А-5,,Консультация,10-30,А-5,,Консультация,10-30,А-5,,Экзамен,9-00,А-218,,,"10
вт",Экзамен,12-00,А-218,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,История,,,,,,,,История,,,,,,,,,,,,,,История,,,,,,,,,,,,,,,,,,История,,,,История,,,,,,История,,,,История,,,,История,,,,,,,,,,,,,,,,,,Информатика,,,,Информатика,,,,,,Информатика,,,,Информатика,,,,Информатика,,,,Информатика,,,,,,,,,,,,,,Информатика,,,,Информатика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,История,,,,История,,,,История,,,,История,,,,,,История,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Гриценко С.А.,,,,,,,,Мельтюхов М.И.,,,,,,,,,,,,,,Савка О.Г.,,,,,,,,,,,,,,,,,,Павлова О.Ф.,,,,Мельтюхов М.И.,,,,,,Савка О.Г.,,,,Павлова О.Ф.,,,,Гриценко С.А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Климочкина А.Ю.,,,,Климочкина А.Ю.,,,,Климочкина А.Ю.,,,,Клейтман А.Л.,,,,,,Клейтман А.Л.,,,,,,,,,,,,,,,
,"11
ср",Экзамен,9-00,А-17,,Экзамен,9-00,А-17,,Экзамен,10-40,А-17,,Экзамен,10-40,А-17,,,"11
ср",Экзамен,12-40,А-17,,,,,,,,,,,,,,,"11
ср",Экзамен,9-00,А-328,,Экзамен,12-00,А-328,,,,,,Экзамен,9-00,А-203,,,"11
ср",,,,,,,,,,,,,,,,,,"11
ср",,,,,,,,,,,,,Консультация,13-00,А-11,,,"11
ср",Консультация,13-00,А-11,,Консультация,13-00,А-11,,,,,,,,,,,"11
ср",,,,,,,,,,,,,,,,,,"11
ср",Экзамен,12-40,А-17,,Экзамен,14-20,А-17,,,,,,,,,,,"11
ср",Экзамен,14-20,А-17,,,,,,,,,,,,,,,"11
ср",,,,,Экзамен,9-00,А-220,,,,,,,,,,,"11
ср",,,,,,,,,,,,,,,,,,"11
ср",,,,,,,,,,,,,,,,,,"11
ср",,,,,,,,,,,,,,,,,,"11
ср",,,,,Экзамен,12-00,А-220,,Экзамен,9-00,А-325,,Консультация,13-00,А-11,,,"11
ср",Консультация,13-00,А-11,,Экзамен,9-00,А-219,,Экзамен,12-00,А-219,,Экзамен,12-00,А-203,
,,Информатика,,,,Информатика,,,,Информатика,,,,Информатика,,,,,,Информатика,,,,,,,,,,,,,,,,,,История,,,,История,,,,,,,,История,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Информатика,,,,,,Информатика,,,,Информатика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Информатика,,,,Информатика,,,,,,,,,,,,,,Информатика,,,,,,,,,,,,,,,,,,,,,,История,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,История,,,,История,,,,Информатика,,,,,,Информатика,,,,История,,,,История,,,,История,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Павлова О.Ф.,,,,Павлова О.Ф.,,,,,,,,Савка О.Г.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Смирнов С.С.,,,,,,Смирнов С.С.,,,,Смирнов С.С.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Климочкина А.Ю.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Климочкина А.Ю.,,,,Гриценко С.А.,,,,Смирнов С.С.,,,,,,Смирнов С.С.,,,,Клейтман А.Л.,,,,Клейтман А.Л.,,,,Савка О.Г.,,,
,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",,,,,,,,,Экзамен,9-00,А-219,,,,,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",Экзамен,9-00,А-325,,Экзамен,12-00,А-219,,,,,,,,,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",,,,,,,,,Консультация,9-00,А-13,,Консультация,9-00,А-13,,,"12
чт",Консультация,9-00,А-13,,Консультация,9-00,А-13,,Консультация,9-00,А-13,,Консультация,10-30,А-13,,,"12
чт",Консультация,10-30,А-13,,Консультация,10-30,А-13,,Консультация,10-30,А-13,,Консультация,10-30,А-13,,,"12
чт",Консультация,10-30,А-13,,,,,,,,,,,,,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",Экзамен,14-20,А-17,,Экзамен,14-20,А-17,,Экзамен,12-40,А-17,,Экзамен,12-40,А-17,,,"12
чт",Экзамен,10-40,А-17,,Экзамен,10-40,А-17,,Экзамен,9-00,А-17,,Экзамен,9-00,А-17,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",Экзамен,12-00,А-325,,,,,,,,,,,,,,,"12
чт",,,,,,,,,,,,,,,,
