месяц,число,ИАБО-01-20,время,№                      ауд,Ссылка,ИАБО-02-20,время,№                      ауд,Ссылка,ИВБО-05-20,время,№                      ауд,Ссылка,ИВБО-06-20,время,№                      ауд,Ссылка,месяц,число,ИВБО-07-20,время,№                      ауд,Ссылка,ИВБО-08-20,время,№                      ауд,Ссылка,ИВБО-13-20,время,№                      ауд,Ссылка,ИВБО-01-20,время,№                      ауд,Ссылка,месяц,число,ИВБО-02-20,время,№                      ауд,Ссылка,ИВБО-03-20,время,№                      ауд,Ссылка,ИВБО-04-20,время,№                      ауд,Ссылка,ИКБО-04-20,время,№                      ауд,Ссылка,месяц,число,ИКБО-05-20,время,№                      ауд,Ссылка,ИКБО-14-20,время,№                      ауд,Ссылка,ИКБО-15-20,время,№                      ауд,Ссылка,ИКБО-22-20,время,№                      ауд,Ссылка,месяц,число,ИКБО-06-20,время,№                      ауд,Ссылка,ИКБО-07-20,время,№                      ауд,Ссылка,ИКБО-11-20,время,№                      ауд,Ссылка,ИКБО-12-20,время,№                      ауд,Ссылка,месяц,число,ИКБО-25-20,время,№                      ауд,Ссылка,ИКБО-26-20,время,№                      ауд,Ссылка,ИКБО-27-20,время,№                      ауд,Ссылка,ИКБО-08-20,время,№                      ауд,Ссылка,месяц,число,ИКБО-09-20,время,№                      ауд,Ссылка,ИКБО-17-20,время,№                      ауд,Ссылка,ИКБО-18-20,время,№                      ауд,Ссылка,ИКБО-19-20,время,№                      ауд,Ссылка,месяц,число,ИКБО-21-20,время,№                      ауд,Ссылка,ИКБО-02-20,время,№                      ауд,Ссылка,ИКБО-01-20,время,№                      ауд,Ссылка,ИКБО-10-20,время,№                      ауд,Ссылка,месяц,число,ИКБО-16-20,время,№                      ауд,Ссылка,ИКБО-24-20,время,№                      ауд,Ссылка,ИКБО-30-20,время,№                      ауд,Ссылка,ИКБО-03-20,время,№                      ауд,Ссылка,месяц,число,ИКБО-13-20,время,№                      ауд,Ссылка,ИКБО-20-20,время,№                      ауд,Ссылка,ИМБО-01-20,время,№                      ауд,Ссылка,ИМБО-02-20,время,№                      ауд,Ссылка,месяц,число,ИНБО-05-20,время,№                      ауд,Ссылка,ИНБО-06-20,время,№                      ауд,Ссылка,ИНБО-08-20,время,№                      ауд,Ссылка,ИНБО-10-20,время,№                      ауд,Ссылка,месяц,число,ИНБО-01-20,время,№                      ауд,Ссылка,ИНБО-02-20,время,№                      ауд,Ссылка,ИНБО-03-20,время,№                      ауд,Ссылка,ИНБО-04-20,время,№                      ауд,Ссылка,месяц,число,ИНБО-09-20,время,№                      ауд,Ссылка,ИНБО-13-20,время,№                      ауд,Ссылка,ИНБО-07-20,время,№                      ауд,Ссылка,ИНБО-11-20,время,№                      ауд,Ссылка,месяц,число,ИНБО-15-20,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка
Я            Н           В          А          Р          Ь,09 пн,Консультация,12-00,А-12,,Консультация,12-00,А-12,,Консультация,13-00,Б-115,,Консультация,13-00,Б-115,,Я            Н           В          А          Р          Ь,09 пн,Консультация,13-00,Б-115,,Консультация,13-00,Б-115,,Консультация,12-00,А-17,,Консультация,11-00,А-7,,Я            Н           В          А          Р          Ь,09 пн,Консультация,11-00,А-7,,Консультация,11-00,А-7,,Консультация,11-00,А-7,,Консультация,13-30,А-12,,Я            Н           В          А          Р          Ь,09 пн,Консультация,13-30,А-12,,Консультация,13-30,А-12,,Консультация,13-30,А-12,,Консультация,13-30,А-12,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,Консультация,15-00,А-6,,Я            Н           В          А          Р          Ь,09 пн,Консультация,15-00,А-6,,Консультация,15-00,А-6,,Консультация,15-00,А-6,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,,,,,,,,,,,,,Консультация,9-00,А-8,,Я            Н           В          А          Р          Ь,09 пн,Консультация,9-00,А-8,,Консультация,9-00,А-8,,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,Зачёт/Зачёт,"9-00
12-00","Б-210
ИВЦ-108",,Зачёт/Зачёт,"12-00
9-00","ИВЦ-108
Б-210",,,,,,,,,,Я            Н           В          А          Р          Ь,09 пн,Консультация,12-00,А-12,,Консультация,,База,,Консультация,12-00,А-12,,,,,,Я            Н           В          А          Р          Ь,09 пн,Зачёт,9-00,Г-426,,Зачёт,13-00,Г-426,,Зачёт,9-00,ИВЦ-107,,Зачёт,13-00,ИВЦ-107,,Я            Н           В          А          Р          Ь,09 пн,Консультация,12-00,А-12,,,,,,,,,,,,,
,,Разработка баз данных реального времени,,,,Разработка баз данных реального времени,,,,Моделирование бизнес-процессов,,,,Моделирование бизнес-процессов,,,,,,Моделирование бизнес-процессов,,,,Моделирование бизнес-процессов,,,,Технология эксплуатации вычислительных комплексов и систем,,,,Архитектура процессоров и микропроцессоров,,,,,,Архитектура процессоров и микропроцессоров,,,,Архитектура процессоров и микропроцессоров,,,,Архитектура процессоров и микропроцессоров,,,,Разработка баз данных ,,,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Конфигурирование систем управления ресурсами предприятий,,,,,,Конфигурирование систем управления ресурсами предприятий,,,,Конфигурирование систем управления ресурсами предприятий,,,,Конфигурирование систем управления ресурсами предприятий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Системы захвата движения и отслеживания объектов,,,,,,Системы захвата движения и отслеживания объектов,,,,Системы захвата движения и отслеживания объектов,,,,,,,,,,,,,,"Основы сетевых технологий/
Технологические основы интернета вещей",,,,"Технологические основы интернета вещей/
Основы сетевых технологий",,,,,,,,,,,,,,Разработка баз данных ,,,,Автоматизированные системы организационного управления,,,,Разработка баз данных ,,,,,,,,,,Методы анализа данных,,,,Методы анализа данных,,,,Технологические основы интернета вещей,,,,Технологические основы интернета вещей,,,,,,Разработка баз данных ,,,,,,,,,,,,,,,
,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,Геращенко Л.А.,,,,Геращенко Л.А.,,,,,,Геращенко Л.А.,,,,Геращенко Л.А.,,,,Платонова О.В.,,,,Бражникова Е.В.,,,,,,Бражникова Е.В.,,,,Бражникова Е.В.,,,,Бражникова Е.В.,,,,Богомольная Г.В.,,,,,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Башлыкова А.А.,,,,,,Башлыкова А.А.,,,,Башлыкова А.А.,,,,Башлыкова А.А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зуев А.С.,,,,,,Зуев А.С.,,,,Зуев А.С.,,,,,,,,,,,,,,"Заботкина Е.М.
Миронов А.Н.",,,,"Миронов А.Н.
Заботкина Е.М.",,,,,,,,,,,,,,Богомольная Г.В.,,,,Никулина Н.О.,,,,Богомольная Г.В.,,,,,,,,,,Буданцев А.В.,,,,Буданцев А.В.,,,,Жматов Д.В.,,,,Жматов Д.В.,,,,,,Богомольная Г.В.,,,,,,,,,,,,,,,
,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",Экзамен,11-00,А-316,,Экзамен,14-00,А-316,,,,,,Экзамен,9-00,Г-112,,,"10
вт",Экзамен,12-00,Г-112,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,Консультация,9-00,А-8,,,"10
вт",Консультация,9-00,А-8,,Консультация,9-00,А-8,,Консультация,9-00,А-8,,Экзамен,9-00,Г-304,,,"10
вт",Экзамен,12-00,Г-304,,,,,,Консультация,11-00,А-181,,Консультация,11-00,А-181,,,"10
вт",,,,,,,,,Зачёт/Зачёт,"9-00
12-00","Б-210
ИВЦ-108",,Зачёт/Зачёт,"12-00
9-00","ИВЦ-108
Б-210",,,"10
вт",,,,,Экзамен,,База,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Моделирование бизнес-процессов,,,,Моделирование бизнес-процессов,,,,,,,,Архитектура процессоров и микропроцессоров,,,,,,Архитектура процессоров и микропроцессоров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Моделирование бизнес-процессов,,,,,,Моделирование бизнес-процессов,,,,Моделирование бизнес-процессов,,,,Моделирование бизнес-процессов,,,,Системы захвата движения и отслеживания объектов,,,,,,Системы захвата движения и отслеживания объектов,,,,,,,,Прикладные задачи математической статистики,,,,Прикладные задачи математической статистики,,,,,,,,,,,,,,"Основы сетевых технологий/
Технологические основы интернета вещей",,,,"Технологические основы интернета вещей/
Основы сетевых технологий",,,,,,,,,,Автоматизированные системы организационного управления,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Геращенко Л.А.,,,,Геращенко Л.А.,,,,,,,,Бражникова Е.В.,,,,,,Бражникова Е.В.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ивахник Д.Е.,,,,,,Ивахник Д.Е.,,,,Ивахник Д.Е.,,,,Ивахник Д.Е.,,,,Зуев А.С.,,,,,,Зуев А.С.,,,,,,,,Буданцев А.В.,,,,Буданцев А.В.,,,,,,,,,,,,,,"Заботкина Е.М.
Миронов А.Н.",,,,"Миронов А.Н.
Заботкина Е.М.",,,,,,,,,,Никулина Н.О.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"11
ср",Экзамен,9-00,И-212-г,,Экзамен,10-40,И-212-г,,Экзамен,9-00,А-316,,Экзамен,12-00,А-316,,,"11
ср",,,,,,,,,Экзамен,14-00,Г-110-а,,,,,,,"11
ср",,,,,Экзамен,9-00,Г-112,,Экзамен,12-00,Г-112,,Экзамен,9-00,И-212-в,,,"11
ср",Экзамен,10-40,И-212-в,,Экзамен,12-40,И-212-в,,Экзамен,14-20,И-212-в,,Экзамен,16-20,И-212-в,,,"11
ср",Консультация,11-00,А-12,,Консультация,11-00,А-12,,Консультация,11-00,А-12,,Консультация,11-00,А-12,,,"11
ср",Консультация,18-00,А-4,,Консультация,18-00,А-4,,Консультация,18-00,А-4,,Экзамен,9-00,Г-312,,,"11
ср",Экзамен,12-00,Г-312,,,,,,,,,,Консультация,13-00,А-12,,,"11
ср",Консультация,13-00,А-12,,Консультация,13-00,А-12,,Консультация,11-00,А-12,,Экзамен,9-00,Г-304,,,"11
ср",Экзамен,12-00,Г-304,,,,,,,,,,,,,,,"11
ср",,,,,Экзамен,9-00,Г-310,,Экзамен,9-00,А-107-1,,Экзамен,12-00,А-107-1,,,"11
ср",,,,,,,,,,,,,,,,,,"11
ср",Экзамен,12-40,И-212-г,,Зачёт/Зачёт,"9-00
12-00","Б-210
ИВЦ-108",,Экзамен,14-20,И-212-г,,Зачёт/Зачёт,"12-00
9-00","ИВЦ-108
Б-210",,,"11
ср",,,,,,,,,Консультация,13-00,А-12,,Консультация,13-00,А-12,,,"11
ср",Экзамен,16-20,И-212-г,,,,,,,,,,,,,
,,Разработка баз данных реального времени,,,,Разработка баз данных реального времени,,,,Моделирование бизнес-процессов,,,,Моделирование бизнес-процессов,,,,,,,,,,,,,,Технология эксплуатации вычислительных комплексов и систем,,,,,,,,,,,,,,Архитектура процессоров и микропроцессоров,,,,Архитектура процессоров и микропроцессоров,,,,Разработка баз данных ,,,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,,,Встраиваемые системы управления базами данными для мобильных приложений,,,,Встраиваемые системы управления базами данными для мобильных приложений,,,,Встраиваемые системы управления базами данными для мобильных приложений,,,,Конфигурирование систем управления ресурсами предприятий,,,,,,Конфигурирование систем управления ресурсами предприятий,,,,,,,,,,,,Разработка баз данных ,,,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,Моделирование бизнес-процессов,,,,,,Моделирование бизнес-процессов,,,,,,,,,,,,,,,,,,,,,,Системы захвата движения и отслеживания объектов,,,,Прикладные задачи математической статистики,,,,Прикладные задачи математической статистики,,,,,,,,,,,,,,,,,,,,,,,,Разработка баз данных ,,,,"Основы сетевых технологий/
Технологические основы интернета вещей",,,,Разработка баз данных ,,,,"Технологические основы интернета вещей/
Основы сетевых технологий",,,,,,,,,,,,,,Разработка баз данных ,,,,Разработка баз данных ,,,,,,Разработка баз данных ,,,,,,,,,,,,,,,
,,,,,,,,,,Геращенко Л.А.,,,,Геращенко Л.А.,,,,,,,,,,,,,,Платонова О.В.,,,,,,,,,,,,,,Бражникова Е.В.,,,,Бражникова Е.В.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,,,Петросян Л.Э.,,,,Петросян Л.Э.,,,,Петросян Л.Э.,,,,Башлыкова А.А.,,,,,,Башлыкова А.А.,,,,,,,,,,,,Богомольная Г.В.,,,,,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,Ивахник Д.Е.,,,,,,Ивахник Д.Е.,,,,,,,,,,,,,,,,,,,,,,Зуев А.С.,,,,Буданцев А.В.,,,,Буданцев А.В.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Заботкина Е.М.
Миронов А.Н.",,,,,,,,"Миронов А.Н.
Заботкина Е.М.",,,,,,,,,,,,,,Богомольная Г.В.,,,,Богомольная Г.В.,,,,,,,,,,,,,,,,,,,,,
,"12
чт",Консультация,13-00,А-177-1,,Консультация,13-00,А-177-1,,Консультация,10-30,А-4,,Консультация,10-30,А-4,,,"12
чт",Консультация,10-30,А-4,,Консультация,10-30,А-4,,,,,,Консультация,9-00,А-8,,,"12
чт",Консультация,9-00,А-8,,Консультация,9-00,А-8,,Консультация,9-00,А-8,,,,,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",Экзамен,9-00,И-212-в,,Экзамен,10-40,И-212-в,,Экзамен,12-40,И-212-в,,Экзамен,14-20,И-212-в,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",,,,,Экзамен,9-00,Г-312,,Экзамен,12-00,Г-312,,Экзамен,9-00,И-212-г,,,"12
чт",Экзамен,10-40,И-212-г,,Экзамен,12-40,И-212-г,,Экзамен,16-20,И-212-в,,,,,,,"12
чт",,,,,Экзамен,11-00,Г-304,,Экзамен,14-00,Г-304,,,,,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,Консультация,9-00,Б-115,,,"12
чт",Консультация,9-00,А-5,,Консультация,9-00,А-5,,Консультация,9-00,А-5,,Консультация,9-00,А-5,,,"12
чт",Зачёт/Зачёт,"9-00
12-00","Б-210
ИВЦ-108",,Зачёт,9-00,ИВЦ-108,,Экзамен,14-20,И-212-г,,Экзамен,16-20,И-212-г,,,"12
чт",Зачёт,9-00,ИВЦ-107,,,,,,,,,,,,,
