День недели,Группа,Unnamed: 2,Unnamed: 3,Unnamed: 4,УИМО-01-22,ИТГУ,"38.04.05
Бизнес-информатика",28,Unnamed: 9,УИМО-02-22,ИТГУ.1,"38.04.05
Бизнес-информатика.1",28.1,Unnamed: 14, УИМО-03-22,ИТГУ.2,"38.04.05
Бизнес-информатика.2",28.2,Unnamed: 19,День недели.1,Группа.1,Unnamed: 22,Unnamed: 23,Unnamed: 24,УСМО-01-22,Стат,"01.04.05
Статистика",10,Unnamed: 29,УДМО-01-22,ДиА,46.04.02                                   Документоведение,14,Unnamed: 34
,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,,№ пары,"Нач.
занятий","Оконч.
занятий",Неделя,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",Ссылка
ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,ПОНЕДЕЛЬНИК,1,9-00,10-30,I,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",
ПОНЕДЕЛЬНИК,1,9-00,10-30,II,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,,,,,II,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",
ПОНЕДЕЛЬНИК,2,10-40,12-10,I,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,,2,10-40,12-10,I,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",
ПОНЕДЕЛЬНИК,2,10-40,12-10,II,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,,,,,II,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",
ПОНЕДЕЛЬНИК,3,12-40,14-10,I,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,,3,12-40,14-10,I,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",
ПОНЕДЕЛЬНИК,3,12-40,14-10,II,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,,,,,II,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",
ПОНЕДЕЛЬНИК,4,14-20,15-50,I,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,,4,14-20,15-50,I,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",
ПОНЕДЕЛЬНИК,4,14-20,15-50,II,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,,,,,II,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",
ПОНЕДЕЛЬНИК,5,16-20,17-50,I,,,,,,,,,,,Дисциплина,"Вид
занятий",ФИО преподавателя,"№ 
ауд.",,,5,16-20,17-50,I,,,,,,Технологии личностного роста,пр,Быкова А.В.,А-328,
