месяц,число,ИВБО-13-21,время,№                      ауд,Ссылка,ИВБО-01-21,время,№                      ауд,Ссылка,ИВБО-02-21,время,№                      ауд,Ссылка,ИВБО-03-21,время,№                      ауд,Ссылка,месяц,число,ИВБО-04-21,время,№                      ауд,Ссылка,ИВБО-05-21,время,№                      ауд,Ссылка,ИВБО-07-21,время,№                      ауд,Ссылка,ИВБО-06-21,время,№                      ауд,Ссылка,месяц,число,ИВБО-08-21,время,№                      ауд,Ссылка,ИКБО-04-21,время,№                      ауд,Ссылка,ИКБО-05-21,время,№                      ауд,Ссылка,ИКБО-14-21,время,№                      ауд,Ссылка,месяц,число,ИКБО-15-21,время,№                      ауд,Ссылка,ИКБО-22-21,время,№                      ауд,Ссылка,ИКБО-06-21,время,№                      ауд,Ссылка,ИКБО-07-21,время,№                      ауд,Ссылка,месяц,число,ИКБО-11-21,время,№                      ауд,Ссылка,ИКБО-12-21,время,№                      ауд,Ссылка,ИКБО-25-21,время,№                      ауд,Ссылка,ИКБО-26-21,время,№                      ауд,Ссылка,месяц,число,ИКБО-27-21,время,№                      ауд,Ссылка,ИКБО-28-21,время,№                      ауд,Ссылка,ИКБО-32-21,время,№                      ауд,Ссылка,ИКБО-08-21,время,№                      ауд,Ссылка,месяц,число,ИКБО-09-21,время,№                      ауд,Ссылка,ИКБО-17-21,время,№                      ауд,Ссылка,ИКБО-18-21,время,№                      ауд,Ссылка,ИКБО-19-21,время,№                      ауд,Ссылка,месяц,число,ИКБО-21-21,время,№                      ауд,Ссылка,ИКБО-23-21,время,№                      ауд,Ссылка,ИКБО-29-21,время,№                      ауд,Ссылка,ИКБО-30-21,время,№                      ауд,Ссылка,месяц,число,ИКБО-31-21,время,№                      ауд,Ссылка,ИКБО-01-21,время,№                      ауд,Ссылка,ИКБО-02-21,время,№                      ауд,Ссылка,ИКБО-10-21,время,№                      ауд,Ссылка,месяц,число,ИКБО-16-21,время,№                      ауд,Ссылка,ИКБО-20-21,время,№                      ауд,Ссылка,ИКБО-24-21,время,№                      ауд,Ссылка,ИКБО-03-21,время,№                      ауд,Ссылка,месяц,число,ИКБО-13-21,время,№                      ауд,Ссылка,ИКБО-33-21,время,№                      ауд,Ссылка,ИМБО-01-21,время,№                      ауд,Ссылка,ИМБО-02-21,время,№                      ауд,Ссылка,месяц,число,ИНБО-05-21,время,№                      ауд,Ссылка,ИНБО-06-21,время,№                      ауд,Ссылка,ИНБО-10-21,время,№                      ауд,Ссылка,ИНБО-13-21,время,№                      ауд,Ссылка,месяц,число,ИНБО-01-21,время,№                      ауд,Ссылка,ИНБО-02-21,время,№                      ауд,Ссылка,ИНБО-03-21,время,№                      ауд,Ссылка,ИНБО-04-21,время,№                      ауд,Ссылка,месяц,число,ИНБО-09-21,время,№                      ауд,Ссылка,ИНБО-11-21,время,№                      ауд,Ссылка,ИНБО-07-21,время,№                      ауд,Ссылка,ИНБО-08-21,время,№                      ауд,Ссылка,месяц,число,ИНБО-12-21,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка,,время,№                      ауд,Ссылка
,09 пн,,,,,Консультация,14-30,А-63 (МП-1),,Консультация,14-30,А-63 (МП-1),,Консультация,14-30,А-63 (МП-1),,,09 пн,Консультация,14-30,А-63 (МП-1),,Консультация,14-30,А-63 (МП-1),,Консультация,14-30,А-63 (МП-1),,Консультация,14-30,А-63 (МП-1),,,09 пн,Консультация,14-30,А-63 (МП-1),,Консультация,15-30,А-63 (МП-1),,Консультация,15-30,А-63 (МП-1),,Консультация,15-30,А-63 (МП-1),,,09 пн,Консультация,15-30,А-63 (МП-1),,Консультация,15-30,А-63 (МП-1),,Консультация,14-20,А-10,,Консультация,14-20,А-10,,,09 пн,Консультация,14-20,А-10,,Консультация,14-20,А-10,,Консультация,14-20,А-10,,Консультация,10-30,А-12,,,09 пн,Консультация,10-30,А-12,,Консультация,10-30,А-12,,Консультация,10-30,А-12,,Консультация,14-20,А-9,,,09 пн,Консультация,14-20,А-9,,Консультация,14-20,А-9,,Консультация,14-20,А-9,,Консультация,14-20,А-9,,,09 пн,Консультация,16-00,А-9,,Консультация,16-00,А-9,,Консультация,16-00,А-9,,Консультация,16-00,А-9,,,09 пн,Консультация,16-00,А-9,,Консультация,16-20,А-10,,Консультация,16-20,А-10,,Консультация,16-20,А-10,,,09 пн,Консультация,16-20,А-10,,Консультация,16-20,А-10,,,,,,,,,,,09 пн,,,,,,,,,,,,,,,,,,09 пн,,,,,Курсовая работа,,Г-413,,,,,,Консультация,15-30,А-63 (МП-1),,,09 пн,Консультация,9-00,А-12,,Консультация,9-00,А-12,,Консультация,9-00,А-12,,Консультация,9-00,А-12,,,09 пн,Консультация,9-00,А-12,,Консультация,9-00,А-12,,,,,,,,,,,09 пн,,,,,,,,,,,,,,,,
,,,,,,Философия,,,,Философия,,,,Философия,,,,,,Философия,,,,Философия,,,,Философия,,,,Философия,,,,,,Философия,,,,Философия,,,,Философия,,,,Философия,,,,,,Философия,,,,Философия,,,,Математический анализ,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,Программирование на языке Джава,,,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Технологии организации обработки и хранения статистических данных,,,,,,,,Философия,,,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Тогузова Л.И.,,,,Тогузова Л.И.,,,,Тогузова Л.И.,,,,,,Тогузова Л.И.,,,,Тогузова Л.И.,,,,Тогузова Л.И.,,,,Тогузова Л.И.,,,,,,Тогузова Л.И.,,,,Тогузова Л.И.,,,,Тогузова Л.И.,,,,Тогузова Л.И.,,,,,,Тогузова Л.И.,,,,Тогузова Л.И.,,,,Шульман И.Л.,,,,Шульман И.Л.,,,,,,Шульман И.Л.,,,,Шульман И.Л.,,,,Шульман И.Л.,,,,Алпатов А.Н.,,,,,,Алпатов А.Н.,,,,Алпатов А.Н.,,,,Алпатов А.Н.,,,,Козлова О.Ю.,,,,,,Козлова О.Ю.,,,,Козлова О.Ю.,,,,Козлова О.Ю.,,,,Козлова О.Ю.,,,,,,Козлова О.Ю.,,,,Козлова О.Ю.,,,,Козлова О.Ю.,,,,Козлова О.Ю.,,,,,,Козлова О.Ю.,,,,Шульман И.Л.,,,,Шульман И.Л.,,,,Шульман И.Л.,,,,,,Шульман И.Л.,,,,Шульман И.Л.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Митин М.П.,,,,,,,,Тогузова Л.И.,,,,,,Алпатов А.Н.,,,,Алпатов А.Н.,,,,Алпатов А.Н.,,,,Алпатов А.Н.,,,,,,Алпатов А.Н.,,,,Алпатов А.Н.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",Экзамен,15-00,А-344 (МП-1),,,,,,,,,,,,,,,"10
вт",,,,,,,,,Экзамен,12-00,А-400 (МП-1),,Экзамен,15-00,А-400 (МП-1),,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,Экзамен,9-00,ивц-103,,,"10
вт",Экзамен,10-40,ивц-103,,Экзамен,12-40,ивц-103,,Экзамен,14-20,ивц-103,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,,,"10
вт",Экзамен,16-20,ивц-103,,Экзамен,9-00,ивц-104,,Экзамен,10-40,ивц-104,,Экзамен,12-40,ивц-104,,,"10
вт",Экзамен,14-20,ивц-104,,Экзамен,16-20,ивц-104,,,,,,,,,,,"10
вт",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Философия,,,,,,,,,,,,,,,,,,,,,,,,,,Философия,,,,Философия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Программирование на языке Джава,,,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,,,Программирование на языке Джава,,,,Программирование на языке Джава,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Тогузова Л.И.,,,,,,,,,,,,,,,,,,,,,,,,,,Цибизова Л.А.,,,,Цибизова Л.А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"11
ср",,,,,,,,,,,,,Экзамен,12-00,А-344 (МП-1),,,"11
ср",,,,,Экзамен,15-00,А-343 (МП-1),,Экзамен,12-00,А-343 (МП-1),,,,,,,"11
ср",Экзамен,9-00,А-345 (МП-1),,,,,,,,,,,,,,,"11
ср",,,,,,,,,Экзамен,12-40,А-9,,Экзамен,12-40,А-9,,,"11
ср",Экзамен,14-20,А-9,,Экзамен,14-20,А-9,,Экзамен,14-20,А-9,,,,,,,"11
ср",,,,,,,,,,,,,Экзамен,10-40,А-10,,,"11
ср",Экзамен,10-40,А-10,,Экзамен,12-40,А-10,,Экзамен,12-40,А-10,,Экзамен,14-20,А-10,,,"11
ср",Экзамен,14-20,А-10,,Экзамен,16-20,А-10,,Экзамен,16-20,А-10,,Экзамен,16-20,А-9,,,"11
ср",Экзамен,16-20,А-9,,Экзамен,9-00,А-9,,Экзамен,9-00,А-9,,Экзамен,10-40,А-9,,,"11
ср",Экзамен,10-40,А-9,,Экзамен,10-40,А-9,,,,,,,,,,,"11
ср",,,,,,,,,,,,,,,,,,"11
ср",,,,,,,,,,,,,Экзамен,12-00,А-345 (МП-1),,,"11
ср",,,,,Зачёт,9-00,И-203-а,,,,,,,,,,,"11
ср",,,,,,,,,Зачёт,12-00,И-203-а,,,,,,,"11
ср",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Философия,,,,,,,,,,Философия,,,,Философия,,,,,,,,,,Философия,,,,,,,,,,,,,,,,,,,,,,,,,,Математический анализ,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,,,,,,,,,,,,,,,,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,Математический анализ,,,,,,Математический анализ,,,,Математический анализ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Философия,,,,,,,,,,Предметно-ориентированные информационные системы,,,,,,,,,,,,,,,,,,,,,,Предметно-ориентированные информационные системы,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Гладышева Е.В.,,,,,,,,,,Арапов О.Г.,,,,Арапов О.Г.,,,,,,,,,,Арапова Э.А.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Арапова Э.А.,,,,,,,,,,Исаев Р.А.,,,,,,,,,,,,,,,,,,,,,,Исаев Р.А.,,,,,,,,,,,,,,,,,,,,,,,,,
,"12
чт",,,,,Экзамен,10-00,А-401 (МП-1),,Экзамен,13-00,А-401 (МП-1),,,,,,,"12
чт",,,,,,,,,,,,,Экзамен,16-00,А-401 (МП-1),,,"12
чт",,,,,Экзамен,9-00,А-225 (МП-1),,,,,,,,,,,"12
чт",Экзамен,12-00,А-225 (МП-1),,Экзамен,15-00,А-225 (МП-1),,,,,,,,,,,"12
чт",,,,,,,,,,,,,Консультация,13-30,А-12,,,"12
чт",Консультация,13-30,А-12,,Консультация,13-30,А-12,,Консультация,13-30,А-12,,Консультация,9-00,А-63 (МП-1),,,"12
чт",Консультация,9-00,А-63 (МП-1),,Консультация,9-00,А-63 (МП-1),,Консультация,9-00,А-63 (МП-1),,Консультация,9-00,А-63 (МП-1),,,"12
чт",Консультация,9-00,А-63 (МП-1),,Консультация,9-00,А-63 (МП-1),,Консультация,9-00,А-63 (МП-1),,Консультация,9-00,А-63 (МП-1),,,"12
чт",Консультация,9-00,А-63 (МП-1),,,,,,,,,,,,,,,"12
чт",,,,,,,,,,,,,,,,,,"12
чт",,,,,,,,,Консультация,10-30,А-12,,Консультация,10-30,А-12,,,"12
чт",Консультация,10-30,А-12,,Консультация,10-30,А-12,,Консультация,10-30,А-12,,Консультация,10-30,А-12,,,"12
чт",Консультация,12-00,А-12,,Консультация,12-00,А-12,,Консультация,12-00,А-12,,Консультация,12-00,А-12,,,"12
чт",Консультация,12-00,А-12,,Консультация,12-00,А-12,,,,,,Курсовая работа,11-00,И-203-а,,,"12
чт",,,,,,,,,,,,,,,,
